Stage,Units,Value,Resistance
Initial,megohms,128,4840
Initial,megohms,129,4840
Initial,megohms,130,4310
Initial,megohms,131,4185
Initial,megohms,132,4570
Initial,megohms,133,4700
Initial,megohms,134,4440
Initial,megohms,135,4850
Initial,megohms,136,4125
Initial,megohms,137,4450
Initial,megohms,138,4450
Initial,megohms,139,4850
Initial,megohms,140,4450
Initial,megohms,141,3635
Initial,megohms,142,3635
Initial,megohms,143,3635
Initial,megohms,144,3900
Initial,megohms,145,4340
Initial,megohms,146,4340
Initial,megohms,147,3665
Initial,megohms,148,3775
Initial,megohms,149,5000
Initial,megohms,150,4850
Initial,megohms,151,4775
Initial,megohms,152,4500
Initial,megohms,153,4770
Initial,megohms,154,4500
Initial,megohms,155,4770
Initial,megohms,156,5150
Initial,megohms,157,4850
Initial,megohms,158,4700
Initial,megohms,159,5000
Initial,megohms,160,5000
Initial,megohms,161,5000
Initial,megohms,162,4700
Initial,megohms,163,4500
Initial,megohms,164,4840
Initial,megohms,165,5075
Initial,megohms,166,5000
Initial,megohms,167,4770
Initial,megohms,168,4570
Initial,megohms,169,4925
Initial,megohms,170,4775
Initial,megohms,171,5075
Initial,megohms,172,4925
Initial,megohms,173,5075
Initial,megohms,174,4925
Initial,megohms,175,5250
Initial,megohms,176,4915
Initial,megohms,177,5600
Initial,megohms,178,5075
Initial,megohms,179,4450
Initial,megohms,180,4215
Initial,megohms,181,4325
Initial,megohms,182,4665
Initial,megohms,183,4615
Initial,megohms,184,4615
Initial,megohms,185,4500
Initial,megohms,186,4765
Initial,megohms,187,4500
Initial,megohms,188,4500
Initial,megohms,189,4850
Initial,megohms,190,4930
Initial,megohms,191,4700
Initial,megohms,192,4890
Initial,megohms,193,4625
Initial,megohms,194,4425
Initial,megohms,195,4135
Initial,megohms,196,4190
Initial,megohms,197,4080
Initial,megohms,198,3690
Initial,megohms,199,5050
Initial,megohms,200,4625
Initial,megohms,201,5150
Initial,megohms,202,5250
Initial,megohms,203,5000
Initial,megohms,204,5000
Additional,megohms,1,4400
Additional,megohms,2,4565
Additional,megohms,3,4495
Additional,megohms,4,4325
Additional,megohms,5,4385
Additional,megohms,6,4545
Additional,megohms,7,4235
Additional,megohms,8,4370
Additional,megohms,9,4340
Additional,megohms,10,4500
Additional,megohms,11,4165
Additional,megohms,12,4000
Additional,megohms,13,4125
Additional,megohms,14,4445
Additional,megohms,15,4775
Additional,megohms,16,4615
Additional,megohms,17,4465
Additional,megohms,18,4375
Additional,megohms,19,4600
Additional,megohms,20,4260
Additional,megohms,21,4675
Additional,megohms,22,4800
Additional,megohms,23,4410
Additional,megohms,24,4675
Additional,megohms,25,4260
Additional,megohms,26,4000
Additional,megohms,27,4360
Additional,megohms,28,4500
Additional,megohms,29,4460
Additional,megohms,30,4360
Additional,megohms,31,4265
Additional,megohms,32,4635
Additional,megohms,33,4240
Additional,megohms,34,4350
Additional,megohms,35,4220
Additional,megohms,36,4150
Additional,megohms,37,4520
Additional,megohms,38,4545
Additional,megohms,39,4650
Additional,megohms,40,4230
Additional,megohms,41,4320
Additional,megohms,42,4570
Additional,megohms,43,4380
Additional,megohms,44,4450
Additional,megohms,45,4340
Additional,megohms,46,4350
Additional,megohms,47,4660
Additional,megohms,48,4220
Additional,megohms,49,4310
Additional,megohms,50,4250
Additional,megohms,51,4315
Additional,megohms,52,4380
Additional,megohms,53,4490
Additional,megohms,54,4240
Additional,megohms,55,4350
Additional,megohms,56,4320
Additional,megohms,57,4475
Additional,megohms,58,4725
Additional,megohms,59,4540
Additional,megohms,60,4565
Additional,megohms,61,4210
Additional,megohms,62,4540
Additional,megohms,63,4600
Additional,megohms,64,4850
